Year	Country	What we tested	What we hoped to learn	What we learnt
2022	Thailand		Which topic would interest the audience more; 1A. God/Truth - True Fulfillment; 1B. Hope/Happiness - Blessed Life; 1C. God/Spiritual - Healing from Suffering; 1D. Purpose / Meaning - Real Change; 1E. Previous Winner - New Life	"Main learning 1 - Purpose / Meaning - Real Change - Growth (Myanmar)‚won - AUD0.0014 per 95% view
 
 Main learning 2 - the 45-64 age group are the most dominant and Female has better ITJ than male."
2022	Thailand	Scripts	Which topic would interest the audience more; 1A. A person who lost a family member; 1B. children whose parents are divorced; 1C. A person who is facing divorce	Main learning 1 - Person who is facing divorce‚won - AUD0.0041 per 95% video views
2022	Thailand	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1 (Script 1C); 2B. Artblogs - _x0008_Asian faces - Canva; 2C. Artblogs - Western faces - Canva; 2D. Daily Life Animation - Biteable	Main learning 2 - Artblog-Western performed better than other style - AUD0.0034 per 95% view,
2022	Thailand	5sec Openings	Which format would interest the audience more; 3A. Same as in Stage 2d; 3B. Cute opening; 3C. Simple Text in Circle	"Main learning 3 - In Stage 3, the same style from Stage 2 wins compares to other styles.
 
 Main learning 4 - the 45-64 age group are the most dominant and Male has better ITJ than female."
2022	Thailand	"KH: Enlightment
 LA. Enlightenment
 MY: True Liberation
 TH: Freedom 
 SRI: Towards a Better Destiny"	Which topic would interest the audience more; KH: Enlightment; LA. Enlightenment; MY: True Liberation; TH: Freedom; SRI: Towards a Better Destiny	"Main learning 1 - Identity-Destiny (Srilanka)‚won for the video views campaign - AUD0.0050 per 95% view
 
 Main learning 2 - Enlightenment (Cambodia)‚won for the video views campaign - AUD2,35 cost per new message
 
 
 Main learning 3 - the 35-44 age group are the most dominant and Female has better ITJ than male."
2022	Thailand	Format	Which format would interest the audience more; View object: Thai Script: Freedom; Message: Cambodia Script: Enlightenment	
2022	Thailand	Topic 	Which topic would interest the audience more; 1. A person who is socially inferior; 2. A person who are unemployed; 3. a person who is tired of living	Main learning 1 - A person who is afraid of death‚won for the video views campaign - AUD0.0068 per 95% view
2022	Thailand	Format	Which format would interest the audience more; 2A. The same with Stage 1 (Canva); 2B. Clay animation (Bitable+Canva)-winner; 2C. Bear animation (Bitable+Canva); Real people VDO (Canva)	Main learning 2 - Clay Animation‚won for the video views campaign -AUD0.0054 cost per 95% view
2022	Thailand	Format	Which format would interest the audience more; 3A. Same; 3B. Start with Big Text; 3C. Text on motion background	Main learning 3 - the 35-44 age group are the most dominant and Female has better ITJ than male.
2022	Thailand	Scripts	Which topic would interest the audience more; .Worthless; 1B.Unloved; 1C. Failure	"Main learning 1 - Failure‚won for the video views campaign - AUD0.0056 per 95% view
 
 Main learning 2 - Clay Animation‚won for the video views campaign -AUD0.0039 cost per 95% view
 
 Main Learning 3 - Male VO won compares to Female and No VO
 
 
 Main learning 3 - the 45-64 age group are the most dominant and Female has better ITJ than male."
2022	Thailand	Scripts	Which topic would interest the audience more; .No Creator; 1B. Believes in Spirit; 1C. Seeker	"Main learning 1 - No Creator‚won for the video views campaign - AUD0.014 per 95% view
 
 Main learning 2 - Synthesia‚won for the video views campaign -AUD0.014 cost per 95% view
 
 Main Learning 3 - Male VO won compares to Female and Mix VO
 
 
 Main learning 4 - the 35-44 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more; .Religious people / good people; 1B. Anxiety people/ uncertainty in life; 1C. Person facing misery in life	"Main learning 1 - Religious/Good people‚won for the video views campaign - AUD0.023 per 95% view
 
 Main learning 2 - Synthesia‚won for the video views campaign -AUD0.0039 cost per 95% view
 
 Main Learning 3 - Male Synthesia won compares to Female and Mix VO
 
 
 Main learning 4 - the 45-55 age group are the most dominant and Female has better ITJ than male."
2022	Thailand	Scripts	Which topic would interest the audience more; .Buddist believe about sin; 1B. How to remove the evil deeds in us; 1C. Can we escape the punishment of sins	"Main learning 1 - How to remove the evil deeds in us
 ‚won for the video views campaign - AUD0.0098 per 95% view
 
 Main learning 2 - Synthesia Male‚won for the video views campaign -AUD0.0077 cost per 95% view
 
 Main Learning 3 - Synthesia Vo‚won compares to Human male VO and No VO
 
 Main learning 4 - the 45-54 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more;  A person who thinks God is just not fair ; A person who was taken advantage-revenge; People who suffer from injustice.	"Main learning 1 - How to remove the evil deeds in us
 ‚won for the video views campaign - AUD0.0132 per 95% view
 
 Main learning 2 - Synthesia (Male) won for the video views campaign -AUD0.0097 cost per 95% view
 
 Main Learning 3 - Synthesia Vo‚won compares to Human male VO and No VO
 
 
 Main learning 4 - the 45-54 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more; Self - Blame; 1B. Criticism; 1C. body shaming	"Main learning 1 - Criticism
 ‚won for the video views campaign - AUD0.0072 per 95% view
 
 Main learning 2 - Synthesia (Male) won for the video views campaign -AUD0.0073 cost per 95% view
 
 Main Learning 3 - Synthesia (Male) ‚won compares to Human male VO and No VO
 
 Main learning 4 - the 45-54 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more; . Bible show us the purpose of life; 1B. Bible give us the real Hope; Bible show us the love of God	"Main learning 1 - Bible show us the purpose of life
 ‚won for the video views campaign - AUD0.0031 per 95% view
 
 Main learning 2 - artblogs canva won for the video views campaign -AUD0.0088 cost per 95% view
 
 Main Learning 3 - artblogs canva ‚won compares to artblogs canva
 Main learning 4 - the 45-54 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more; 1A-Jesus Helps Us Make a; Good Choice For Our Lives; Choices, The Future Changer; 3A Bad Choices Can Affects Those Around Us	"Main learning 1 - Bad Choices Can Affects Those Around Us
 ‚won for the video views campaign - AUD0.0031 per 95% view
 
 Main learning 2 - animation won for the video views campaign AUD0.0088 cost per 95% view
 
 Main Learning 3 - Animation - Bitable ‚won compares to Synthesia
 Main learning 4 - the 45-54 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Scripts	Which topic would interest the audience more; 1A-Peace in Times of Loneliness; 1B-peace in Times of Financial Strain; 1C-Peace in Times of Hopelessness	"Main learning 1 - Peace in Times of Financial Strain 
 ‚won for the video views campaign - AUD0.0034 per 95% view
 
 Main learning 2 - Synthesia (Female)
 won for the video views campaign AUD0.0086 cost per 95% view
 
 Main Learning 3 -  real human VO ‚won compares to VO Synthesia / Different Gender
 
 
 Main learning 4 - the 40-50 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Vo	Which sound would interest the audience more; 3A - Stage 2 winner vid; 3B - Female VO; 3C - Male VO	
2022	Thailand	Scripts	Which topic would interest the audience more; 1 A Discovering God's gift for us; 1 B God knows each of us.; 1 C Creator can give you satisfied.; 	"Main learning 1 - B.the good news about Jesus is Real 
 ‚won for the video views campaign - AUD0.0035 per 95% view
 
 Main learning 2 - Artblog
 won for the video views campaign AUD0.0038 cost per 95% view
 
 Main Learning 3 -  Female VO ‚won compares to male VO and artblog
 
 
 Main learning 4 - the 40-50 age group are the most dominant and Male has better ITJ than Female."
2022	Thailand	Vo	Which sound would interest the audience more; 3A - Stage 2 winner vid; 3B - Female VO; 3C - Male VO	
2022	Thailand		Which topic would interest the audience more; 1 A Discovering God's gift for us; 1 B God knows each of us.; 1 C Creator can give you satisfied.; 	"Main learning 1 - B. Love Can End Your Suffering
 ‚won for the video views campaign - AUD0.0037 per 95% view
 
 Main learning 2 - Artblog
 won for the video views campaign AUD0.0036 cost per 95% view
 
 Main Learning 3 -  Stage 2 winner vid‚won compares to male VO and artblog
 
 
 Main learning 4 - the 40-50 age group are the most dominant and Male has better ITJ than Female."
2022	Nepal	"Testing the script Presentation 
 Placement of ITJ"	Which topic would interest the; audience more.	"People are more Intrested in
 pratical love."
2022	Nepal	"Format and male voice over
 test."	Which format would interest the; audience more.	"More people like animation 
 video."
2022	Nepal	Script test with fonts and music.	Which topic would interest the; audience more.	"People wants to know the true 
 love."
2022	Nepal	Format test with male voiceover.	Does color matters	"People are in search of true
 Love."
2022	Nepal	Script, Font & Music.	Does font & music helps them; to be serious in script	"People are intresed in short 
 messages."
2022	Nepal	Male & Female voiceover.	People prefer duet voiceover; or not.	"Male and female voice over 
 people prefered the most 
 according to our data."
2022	Nepal	Script & Music	Can Native music helps people; to understand Jeuse as their; own God but not as foreign; God or religion.	"People are more into scrript
 than background music."
2022	Nepal	Presentation & music	Without any background music; does it makes any difference to; the audience	"Without background music was
 the winning video."
2022	Nepal	Script & Fonts	Testing the fonts style and; script.	"Script placement of ITJ is the
 winning video."
2022	Nepal	Presentation test with VO and text.	Trying ko keep the; presentation simple so that; people can go to the depth; of a script.	"More people were engaged in
 our VO videos than text videos."
2022	Nepal	"Testing the script, Presentation
 with still footage and 
 Placement of direct ITJ,"	Placement of direct ITJ will be; acceptable or not.	"Fancy font with colorful text was
 the winning video."
2022	Nepal	Voice over male vs female.	Testing the script with male; and female voice over.	"Female vo was the winner over
 male vo."
2022	Nepal	Script with femail voice over.	Voice-over over typography.	"VO video is being played more 
 than previous typography videos."
2022	Nepal	VO, Color Music	Male vs femail VO	"Femail VO video is the winning 
 video."
2022	Nepal	Direct ITJ Placements	Male VO	"The script with indirect ITJ 
 placement was the winning 
 video by 2k more views than 
 1st runnerup video."
2022	Nepal	Male vs femail VO	Which voice attracts the; audience most.	"Video with female voice was
 the wining video."
2022	Nepal	Time duration (3min vs 35s)	Time duration makes any diffrence or not.	Long time duration does'nt matter untill and unless the quality of vocal is good.
2022	Nepal	POV	Let people know how important; they are in God's view.	"Wining video got 50% more
 shares but 50% less comments."
2022	Nepal	"Presentation styles with voice 
 over."	Want to see the impact of; western music and eastern; music.	"Video having eastern music
 was the most engaging video."
2022	Nepal	Script	Which topic will intrest the; people more.	Cost per ITJ was more.
2022	Nepal	"Male v/s Female VO, 
 Animatio & natural ambient 
 sound effect."	How effective will be the; animation videos and; natural ambient sound; effect.	"Video with natural ambient 
 sound effect with male voice
 over was the wining video."
2022	Nepal	Script and loop animation.	Which topic would interest the; audience more and how; effective will be the animation; video.	Cost per ITJ was more.
2022	Nepal	"Typography vs Male VO vs 
 Female VO vs Animation vs 
 Cinamatic music."	Testing presentation style.	"Animation video with male 
 voice was the winning video 
 with 50% more reach."
2022	Nepal	"Script with Nepali tibe faces 
 and Nepali folk music."	How effective will be Nepali; faces and Nepali folk music.	"Nepali faces and Nepali music 
 is doing better cmparing to
 others."
2022	Nepal	Musica variation with M/F VO	Testing seasonal nature; ambient sound with Nepali; music.	"Video having nature ambient
 sound with Nepali music
 is the winning video."
2022	Nepal	Script & Nepali faces.	Testing nepali faces and Nepali; music.	"Nepali faces video is getting
 more reach and response."
2022	Nepal	"Nepali faces, Nepali music, &
 M/F VO"	Typography vs M/F VO	"Typography video got more
 reach."
2022	Nepal	"Local vs English
 language with VO."	Effectiveness of english; language.	"Script with englias language
 got around 15% of total
 views."
2022	Nepal	Animation variation.	With and without VO.	"Control video from test 1 was 
 was the wining video with 
 0.004 cost per ITJ and 
 219,013 reach."
2022	Nepal	"Script and nature ambient
 sound effect with local 
 music.."	Effectiveness of scripts with; large font size.	"Cheenta fekree, the winning 
 video got around 97% 
 of total reach."
2022	Nepal	"M/F VO & native music with
 nature ambient."	Effectiveness of clay; animation.	"Control video from test 1 was 
 was the wining video."
2022	Nepal	"Script test and local
 footages."	Direct and indirect ITJ.	"Script with indireect ITJ was
 the winning video."
2022	Nepal	"VO with animation,
 Only VO & typography."	Presentation effectiveness.	"Video with female VO was the
 most engaging video."
2022	Nepal	Script and cartoon animation.	Placement of indirct ITJ.	"Chemeki was the most 
 engaging video."
2022	Nepal	"VO, typography & VO with 
 cartoon animation."	Presentation effectiveness.	"VO with related animation was 
 the most engaging video."
2022	Nepal	"Script, typography and overlay 
 blending footage."	Which topic would interest the; audience more.	"Maybe overlay blending footage
 didn't impact much. Maybe it 
 was not that pleasing to eyes."
2022	Nepal	Dramatic VO	Testing dramatic VO.	"Video with dramatic VO was the
 winning video among all."
2022	Nepal	"Script and presentation style.
 (cooking footages)"	Effectiveness of cooking; footages.	"Script on the topic of 
 Aagyapalan was the winning 
 video."
2022	Nepal	"Bg music variation
 Up lift vs joyful"	Which format would interst the; audience more:; 1) Cooking footages with joyful; bg music.; 2) Cinamatic footages with up-; lift bg music.	"Video with Cinamatic footages 
 with up-lift bg music was 
 the winning video."
2022	Nepal	Typography and font size.	Effectiveness of font size.	"Winning video was also the 
 winner for clicks and cost 
 per click."
2022	Nepal	"Presentation style
 1) Energetic male VO
 2) Soft female VO
 3) Large and bold font.
 4) Uplift vs soothing music."	How effective will be the; energetic male VO with uplift; music over soft female VO; with soothing music.	"Video with energetic VO 
 with uplift music was the 
 most engaging video."
2022	Nepal	"Script & music varitation
 a) Relaxing
 b) Vlog 
 c) Nepali folk"	What kind of music varitation; would intrest the audience; most.	"Script with Nepali folk music 
 was the most engaging video 
 for Stage 1."
2022	Nepal	"Presentation style
 1) Male & female VO
 2) Musuc varitation
 3) Typography."	Voice over vs typography.	"Video with female VO was the 
 most engaging video."
2022	Nepal	Script & music varitation.	Script with direct ITJ vs indirect; ITJ.	"Script with indirect IJT was the 
 winning video."
2022	Nepal	"Presentation Style
 1) Male & female VO
 2) Cartoon animation vs stock.
 3) Typography."	Which presentation style would; intrest the audience most.	"Cartoon animation with male 
 voice over was the wining video."
2022	Nepal	"Presentation style.
 1) Land animals, aquatic 
 animals & plant pooting 
 footges.
 2) Music varitation"	Which presentation style would; intrest the audience most.	"Script with plant pooting 
 footage was the most 
 engaging video."
2022	Nepal	"Presentation style.
 1) Cartoon animation with 
 male voice over.
 2) Cartoon animation with 
 typography.
 3) Still footage with female 
 voice over.
 4) Music varitation."	Which presentation style would; be more effective.	"Animation with typography 
 video was the wining video."
2022	Nepal	Male & female voice over.	How effective will voice over be; in Stage 1.	"Video with female voice 
 over was the wining video."
2022	Nepal	"Presntation style:
 1) Typography
 2) Games footages."	Which presentation style would; intrest the audience most.	"The video with PUBG footage
 was the most engaging video."
2022	Nepal	"Presentation style:
 1) M/F voice over
 2) Aspect ratio 1x1 vs 16:9
 3) Explainer video."	How effective will be 16:9; aspect ratio and explainer; video.	"Control video from Stage 1 was 
 the winning video."
2022	Nepal	Script and animation video.	How effective will be the script; topic and animation video.	"Script with the topic of Rish
 (anger) was the wining video."
2022	Nepal	"Presentatiion Style:
 1) M/F voice over.
 2) Cartoon vs explainer 
 animation.
 3) Music varitaion."	Which presentation style would; engaged the audience most.	"Control video from Stage 1 was 
 the winning video."
2022	Nepal	"Presentation style:
 1) Music varitation
 2) Still images
 3) Typography."	Which topic and presentation; style would intrest the audience; most.	"Video with relaxing music and 
 still picture of a man checking 
 time was the wining video."
2022	Nepal	"Presentation style:
 1) M/F voice over.
 2) Real footages vs video game 
 footages.
 3) Typography."	How will the video game; footage work comparing to; others.	"Video with video games 
 footage was the wining video."
2022	Nepal	Script & Typography.	Which topic would intrest the; audience most.	"Script with the topic of Upahar
 (Gift) was the wining script."
2022	Nepal	"Presentation Style
 1) M/F and duo VO
 2) Explainer animation with 
 english sub title
 3) Typography"	Which presentation style would; intrest the audience most.	"The control video from Stage 1c
 was the wining video."
2022	Sri Lanka	Script Test	What is it that people want new beginnings with Family Spirituality Self Esteem	Family won
2022	Sri Lanka	Format Test	Which script works best withour audience Animation vs. Artblog vs. Typography	"TAM - Animation
 ENG - Animation
 SIN - Animation"
2022	Sri Lanka	Format Test	Which format works best withour audience WaterColor Style vs. Artblog vs. Typography	Typography won
2022	Sri Lanka	Voice Over Test	Which VO works best withour audience Male VO vs. Female VO vs. No VO	"TAM - No VO
 ENG - Male VO
 SIN - No VO"
2022	Sri Lanka	Format Test	Which format works best withour audience WaterColor Style vs. Artblog vs. Typography	"Typography won
 Watercolor most expensive, not considering it for future Format tests"
2022	Sri Lanka	Format Test	Which format works best withour audience Nature vs. Artblog vs. Typography	"SIN - Typography - AUD1.50
 TAM - Artblog - AUD1.42
 ENG - Nature - AUD1.47"
2022	Sri Lanka	Script Test	Which script works best withour audience Freedom from Sin vs Freedom from Past Mistakes vs Hope for the Future	Hope Script Won
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	"TAM/ENG - Animation
 SIN - Artblog"
2022	Sri Lanka	Script Test	Which script works best withour audience Economic Crisis vs Times of Sickness vs Mental Health	"Mental Health won. 
 Lowest costs per ITJ across the 3 languages"
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	Typography won
2022	Sri Lanka	Script Test	Which script works best withour audience Light of the World vs. Prince of Peace vs. Advocate	"WINNER - Prince of PEACE
 ENG - Peace - AUD0.42
 SIN - Peace - AUD0.67
 TAM - Advocate - AUD0.59"
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	Artblog Won
2022	Sri Lanka	Script Test	Which script works best withour audience Yours vs. Hard. vs. Powerful	"WINNER - Unconditional Love is Powerful
 ENG - AUD0.64
 SIN - AUD0.83
 TAM - AUD0.69"
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	Artblog Won
2022	Sri Lanka	Script Test	Which script works best withour audience Which format works best withour audience LovesOthers vs UnlovedChild vs Anger	"WINNER - LovesOthers
 
 ENG - LovesOthers - AUD0.48
 SIN - LovesOthers - AUD0.66
 TAM - Anger - AUD0.53"
2022	Sri Lanka	Script Test	Which script works best withour audience Loneliness vs. Financial Strain vs. Hopelessness	"WINNER - Loneliness
 ENG - Peace in Times of Financial Strain - AUD0.40
 SIN - Peace in Times of Loneliness - AUD0.64
 TAM - Peace in Times of Loneliness - AUD0.51"
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	Artblog Won
2022	Sri Lanka	Script Test	Which script works best withour audience Loneliness vs. Financial Strain vs. Future	Loneliness Won
2022	Sri Lanka	Format Test	Which format works best withour audience Artblog vs Typography vs Animation	Artblog Won
2023	Bangladesh	Does divorce negatively impact family dynamics, leading to increased conflict and decreased emotional well-being	Divorce affects family cohesion negatively.	New Format
2023	Bangladesh	Do individuals with strong coping mechanisms adapt more successfully to major life transitions	New life transitions are challenging but rewarding.	Nothing well
2023	Bangladesh	Are specific life events or situations more likely to trigger episodes of sadness in individuals	Sadness is often triggered by personal loss.	BG effects
2023	Bangladesh	Does a strong social support system significantly contribute to higher levels of reported happiness	Happiness is influenced by positive relationships.	New Font Effects
2023	Bangladesh	Is strong family support associated with increased resilience and better mental health outcomes in individuals	Family support is crucial for emotional well-being.	Doesn't interest about family
2023	Bangladesh	Does active involvement of fathers in their children's lives lead to improved academic performance and social skills	Fathers play a significant role in child development.	Video Effect
2023	Bangladesh	Is a sense of purpose and meaning in life a significant predictor of overall life satisfaction	A sense of purpose contributes to life satisfaction.	People like this kind of Script
2023	Bangladesh	Does a secure attachment to the mother in early childhood correlate with greater emotional stability in adulthood	Mothers have a profound impact on child development.	Scripting without rules
2023	Bangladesh	Are individuals who report higher levels of empathy more likely to engage in altruistic behaviors	People are motivated to help due to empathy.	Most of the people are like to help
2023	Bangladesh	Does effective communication play a critical role in maintaining long-term romantic relationships	Emotional connection is key to romantic love.	Got some way to low costing
2023	Bangladesh	Are individuals who view failure as a learning opportunity more likely to persevere and achieve future success	Failure can lead to personal growth.	Emotional Force
2023	Bangladesh	Does having clear goals and values lead individuals to make more purposeful and fulfilling life choices	Choosing the right life path is crucial for happiness.	Simple BG was good
2023	Bangladesh	Does shared values and goals significantly increase commitment levels in romantic relationships	Trust and communication are essential for commitment.	Simple Overlay
2023	Bangladesh	Does consistent honesty and transparency lead to stronger and more trusting relationships	Trust is built through reliability and honesty.	Emotional Force
2023	Bangladesh	Does a strong sense of spiritual love and connection correlate with increased feelings of hope and well-being	Spiritual love provides comfort and peace.	Audience doesn't like these video so much
2023	Bangladesh	Do individuals with strong social support networks cope more effectively with the emotional distress of a breakup	Breakups can be emotionally challenging but lead to growth.	They like the new music and the script
2023	Bangladesh	Does actively seeking clarification and engaging in empathetic listening reduce the frequency of misunderstandings	Effective communication prevents misunderstandings.	New Effects are doesn't so good
2023	Bangladesh	Does increased financial literacy lead to better financial decision-making and reduced financial stress	Financial literacy is crucial for stability.	New Font Effects
2023	Bangladesh	Are intrinsic rewards (e.g., a sense of accomplishment) more motivating than extrinsic rewards (e.g., money) in the long run	Rewards motivate people to achieve goals.	People like this types video effect
2023	Bangladesh	Does a combination of hard work, perseverance, and a positive attitude significantly increase the likelihood of success	Hard work and perseverance are key to success.	Simplicity was the best ever
2023	Bangladesh	Does the ability to understand and consider different points of view lead to more effective communication and conflict resolution	Understanding different perspectives fosters empathy.	Current AI Lovers
2023	Indonesia	Script 	Which of the 3 scripts performs better: financial issues, family pressure, or life purpose change?	Got more ITJ than others (7,388 ITJ). aud AUD0.0023 per 33.50% views
2023	Indonesia	Format	Which of the 4 Format performs better: single image, video, looping bg, or multiple image?	Looping bg is more performing than other Format. aud AUD0.0023 per 55.50% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: looping bg steel, looping bg particles, looping bg abstract seamless?	Looping bg steele element is much more viewable than using other elements. aud AUD0.0016 per 78.11% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: where will i go when my time on earth is done? what will people say about me at my funeral? what legacy will i leave?	Got more ITJ than others (10,266 ITJ). aud AUD0.0017 per 43.41% views
2023	Indonesia	Format	Which of the 4 Format performs better: looping bg, multiple video, multiple image, animation?	Audiences watch more animated Format. aud AUD0.0016 per 61.33% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: no bg text animation, white bg text animation, dark bg text animation?	Test 3a got more ITJ than others (10,550 ITJ). aud AUD0.0018 per 18.72% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: conditions for being loved (wealth, kindness, benefits)?	Got more ITJ than others (14,078 ITJ). aud AUD0.0013 per 102.49% views
2023	Indonesia	Format	Which of the 4 Format performs better: multiple video, text animation/transition, synthesia, multiple image?	2d Format test is more cheaper than the others. aud AUD0.0013 per 123.39% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: love symbol, couple, family, human and animal?	Cost per ITJ more cheaper besides other elements. aud AUD0.0011 per 104.14% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: family can't, close friends can't, partner can't?	Topic 1b got more ITJ reach than other topics (6,230 ITJ). aud AUD0.0014 per 88.12% views
2023	Indonesia	Format	Which of the 4 Format performs better: single image, single footage, simple animation, simple text animation?	Test 2d by far got more ITJ / reach percentage than other Format (97.70%). aud AUD0.0013 per 97.70% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: purple text, pink text, blue text, tosca text?	Although the difference with other tests is not so far, but test 3a got 5,987 ITJ. aud AUD0.0014 per 94.94% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: am i not diligent enough in asking? is my almsgiving not enough? are my words wrong in prayer?	Test 1c perform well than other scripts test
2023	Indonesia	Format	Which of the 4 Format performs better: multiple video, multiple image, single video + sound effect, multiple background?	*no winning data
2023	Indonesia	Script 	Which of the 3 scripts performs better: we lose to anger, thirst/hunger, entertainment from phones?	Topic 1b got more ITJ than other topics (3,834 ITJ). aud AUD0.0025 per 15.59% views
2023	Indonesia	Format	Which of the 4 Format performs better: single tutorial video, multiple video, loop bg, multiple image?	Even test 2a got 12,880 reach, this format test got higher ITJ (3,586 ITJ). aud AUD0.0024 per 27.84% views)
2023	Indonesia	Video elemets 	Testing which of the 4 elements is perform better for audience:tutorial cara buat ketupat, tutorial cara buat kolak, tutorial cara buat takjil, tutorial cara buat pisang ijo?	3c test got lower cost per ITJ than other element test (aud AUD0.0028) aud AUD0.0028 per 23.42% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: faced with death of loved one, loss of property, deadly illness?	Test 1a topic more relateable to audience. aud AUD0.0019 per 22.43% views
2023	Indonesia	Format	Which of the 4 Format performs better: multiple video, single video, single image, background?	Test 2b got more ITJ than other Format aud AUD0.0006 per 140.69% views
2023	Indonesia	Video elemets 	Testing which of the 4 elements is perform better for audience: thunder video, hurricane video, volcano video, flood video?	Test 3c almost got a perfect ITJ / reach percentage than other elements test (99.00%) aud AUD0.0012 per 99.00% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: will luxury make us arrogant, uncaring, forgetful of worship?	Script 1b got more ITJ than others (6,948 ITJ). aud AUD0.0013 per 88.31% views
2023	Indonesia	Format	Which of the 4 Format performs better: single image, multiple video, loop background, text only?	Test 2a got more ITJ / reach percentage than other Format test (89.78%). aud AUD0.0015 per 89.78% views
2023	Indonesia	Video elemets 	Testing which of the 4 elements is perform better for audience: money, gold coin, diamond, pearl necklace?	Test 3c got more ITJ than other elements test... aud AUD0.0012 per 97.29% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: trauma from losing loved one, failed business, incurable illness?	Test 1c got more ITJ than other scripts test aud AUD0.0006 per 108.99% views
2023	Indonesia	Format	Which of the 4 Format performs better: single video, multiple image, single image, d-id ai video?	Trying new ai Format (d-id) and performed well than other Format aud AUD0.0010 per 82.02% views
2023	Indonesia	Video elemets 	Testing which of the 4 elements is perform better for audience: male doctor, female doctor, nurse, male patient?	1 ITJ difference from 3d test aud AUD0.0005 per 116.69% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: better to die than suffer, live without hope, die painfully?	Test 1b got more ITJ than other scripts test, and there is a difference of 49 ITJ with test 3c. aud AUD0.0005 per 119.41% views
2023	Indonesia	Format	Which of the 4 Format performs better: multiple image, multiple video, single video, single image?	Test 2c perform well than other Format aud AUD0.0016 per 41.13% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: financial issues, family pressure, or life purpose change?	Got more ITJ than others (7,388 ITJ). aud AUD0.0023 per 33.50% views
2023	Indonesia	Format	Which of the 4 Format performs better: single image, video, looping bg, or multiple image?	Looping bg is more performing than other Format. aud AUD0.0023 per 55.50% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: looping bg steel, looping bg particles, looping bg abstract seamless?	Looping bg steele element is much more viewable than using other elements. aud AUD0.0016 per 78.11% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: where will i go when my time on earth is done? what will people say about me at my funeral? what legacy will i leave?	Got more ITJ than others (10,266 ITJ). aud AUD0.0017 per 43.41% views
2023	Indonesia	Format	Which of the 4 Format performs better: looping bg, multiple video, multiple image, animation?	Audiences watch more animated Format. aud AUD0.0016 per 61.33% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: no bg text animation, white bg text animation, dark bg text animation?	Test 3a got more ITJ than others (10,550 ITJ). aud AUD0.0018 per 18.72% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: conditions for being loved (wealth, kindness, benefits)?	Got more ITJ than others (14,078 ITJ). aud AUD0.0013 per 102.49% views
2023	Indonesia	Format	Which of the 4 Format performs better: multiple video, text animation/transition, synthesia, multiple image?	2d Format test is more cheaper than the others. aud AUD0.0013 per 123.39% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: love symbol, couple, family, human and animal?	Cost per ITJ more cheaper besides other elements. aud AUD0.0011 per 104.14% views
2023	Indonesia	Script 	Which of the 3 scripts performs better: family can't, close friends can't, partner can't?	Topic 1b got more ITJ reach than other topics (6,230 ITJ). aud AUD0.0014 per 88.12% views
2023	Indonesia	Format	Which of the 4 Format performs better: single image, single footage, simple animation, simple text animation?	Test 2d by far got more ITJ / reach percentage than other Format (97.70%). aud AUD0.0013 per 97.70% views
2023	Indonesia	Video elemets 	Which of the 4 elements performs better: purple text, pink text, blue text, tosca text?	Although the difference with other tests is not so far, but test 3a got 5,987 ITJ. aud AUD0.0014 per 94.94% views
